account,migration_interest,reason,latest_notion_record,record_date,notion_stage,owner,notion_url,evidence,psa_account_status,notion_inferred_tigerpaw_status,notion_inferred_tigerpaw_reason,sf_web_migration_status,sf_web_migration_details,matched_records,used_cbr_record
Communication Service Solutions,unknown / needs review,no clear migration-intent signal found,Affiliated Technology Solutions - CBR,2026-07-02T14:58:00.000Z,1 - Discovery Scheduled,,https://app.notion.com/p/Affiliated-Technology-Solutions-CBR-391a59b7e7b280788c38f16808cc2c67,"… done Set due dates and priorities Tony SE Handoff (if needed): If Tony needs to join the demo, create a sub-page on the [CLIENT NAME] meeting series page titled ""SE Demo Brief - [Date]"" Tag @Tony at the top of the page Include a copy-and-pastable summary with: Draft Follow-Up Email: Thank them for …",,Unknown,No clear hosting signal in latest Notion notes,,,75,True
Professional Security Innovations,want to migrate asap,Salesforce web migration status,,,,,,,Active - Unleashed,Active - Unleashed,Salesforce PSA Account Status fallback,Want to migrate asap,very eager but cannot move until we have a way to batch to QB desktop - client is not willing to move to QBO,0,False
Dividia,want to migrate asap,Salesforce web migration status,Dividia,2026-08-05T15:01:00.000Z,,,https://app.notion.com/p/Dividia-3b3a59b7e7b2807490d7c54477ed9dd1,"… done Set due dates and priorities Tony SE Handoff (if needed): If Tony needs to join the demo, create a sub-page on the [CLIENT NAME] meeting series page titled ""SE Demo Brief - [Date]"" Tag @Tony at the top of the page Include a copy-and-pastable summary with: Draft Follow-Up Email: Thank them for …",Active - Tigerpaw One,Active - Tigerpaw One,Salesforce PSA Account Status fallback,Want to migrate asap,,1,False
Carrier SI,want to migrate / timeline unknown,migration interest or demo language; no firm urgent timeline,Carrier SI,2026-07-22T16:01:00.000Z,,,https://app.notion.com/p/Carrier-SI-3a5a59b7e7b280718036f6199c332858,"Carrier SI Demo overview, pricing discussed; schedule Tony demo Monday. 2026-07-27 Agenda Follow-up Tasks 2026-07-22 Agenda Follow-up Tasks Post-Discovery Prompt [CLIENT NAME] = (insert client name) I just completed a [Di…",Active - Tigerpaw One,Active - Tigerpaw One,Salesforce PSA Account Status fallback,Want to migrate / timeline unknown,"08/14 - Planning to make a decision if they want to leave or migrate to Web by October 15, 2026.",2,False
MAPS Security,unknown / needs review,no clear migration-intent signal found,,,,,,,Active - Web,Active - Web,No clear hosting signal in latest Notion notes,Migration Pending,Client was having issues using the system. Jeremy from internal working with them.,0,False
Environmental & Safety Support,unknown / needs review,no clear migration-intent signal found,,,,,,,Active - Tigerpaw One,Active - Tigerpaw One,Salesforce PSA Account Status fallback,Unknown,,0,False
Tidal Communications LLC,unknown / needs review,no clear migration-intent signal found,Tidal Communications- CBR,2026-07-07T18:01:00.000Z,1 - Discovery Scheduled,,https://app.notion.com/p/Tidal-Communications-CBR-396a59b7e7b280bc90d4f4316f421b81,"… done Set due dates and priorities Tony SE Handoff (if needed): If Tony needs to join the demo, create a sub-page on the [CLIENT NAME] meeting series page titled ""SE Demo Brief - [Date]"" Tag @Tony at the top of the page Include a copy-and-pastable summary with: Draft Follow-Up Email: Thank them for …",Active - Unleashed,Active - Unleashed,Salesforce PSA Account Status fallback,Unknown,,1,True
Telephone Communications Inc,unknown / needs review,no clear migration-intent signal found,Metropolitan Telephone- CBR,2026-06-15T17:01:00.000Z,1 - Discovery Scheduled,,https://app.notion.com/p/Metropolitan-Telephone-CBR-380a59b7e7b280d6aa66eb684fed8ce2,"… done Set due dates and priorities Tony SE Handoff (if needed): If Tony needs to join the demo, create a sub-page on the [CLIENT NAME] meeting series page titled ""SE Demo Brief - [Date]"" Tag @Tony at the top of the page Include a copy-and-pastable summary with: Draft Follow-Up Email: Thank them for …",Active - Tigerpaw One,Active - Tigerpaw One,Salesforce PSA Account Status fallback,Unknown,07/06/2026 - they want to start migrating between August to end of September. Followed up with an email. Need Sage50 (accounting) integration with PSA web.,6,True
Brothers Lazer Svc,want to migrate / timeline unknown,Salesforce web migration status,Brothers Lazer,2026-07-02T16:59:00.000Z,,,https://app.notion.com/p/Brothers-Lazer-391a59b7e7b280fa8c06ec1e9cb5e3c2,"… done Set due dates and priorities Tony SE Handoff (if needed): If Tony needs to join the demo, create a sub-page on the [CLIENT NAME] meeting series page titled ""SE Demo Brief - [Date]"" Tag @Tony at the top of the page Include a copy-and-pastable summary with: Draft Follow-Up Email: Thank them for …",Active - Unleashed,Active - Unleashed,Salesforce PSA Account Status fallback,Want to migrate / timeline unknown,Managed Print - we are missing alot of functionality for them,1,False
Telewire Inc.,unknown / needs review,no clear migration-intent signal found,,,,,,,Active - Unleashed,Active - Unleashed,Salesforce PSA Account Status fallback,Unknown,,0,False
Dominion Design & Integration,unknown / needs review,no clear migration-intent signal found,,,,,,,Active - Tigerpaw One,Active - Tigerpaw One,Salesforce PSA Account Status fallback,Unknown,,0,False
A-Z Printers Plus,unknown / needs review,no clear migration-intent signal found,,,,,,,Active - Unleashed,Active - Unleashed,Salesforce PSA Account Status fallback,Unknown,,0,False
TRM,want to migrate / timeline unknown,migration interest or demo language; no firm urgent timeline,TRM,2026-07-08T14:57:00.000Z,,,https://app.notion.com/p/TRM-397a59b7e7b28014b019d59de0e8622d,"TRM Demo review, pricing approved, migration plan set for August‑Sept. 2026-07-08 Agenda Follow-up Tasks Post-Discovery Prompt [CLIENT NAME] = (insert client name) I just completed a [Discovery Call] with [CLIENT N…",Active - Unleashed,Active - Unleashed,Salesforce PSA Account Status fallback,Want to migrate asap,"7/9 - Called Don, no answer. Following up with email.",1,False
IntelesysOne,unknown / needs review,no clear migration-intent signal found,,,,,,,Active - Unleashed,Active - Unleashed,Salesforce PSA Account Status fallback,,,0,False
